places/id	places/internationalPhoneNumber	places/location/latitude	places/location/longitude	places/rating	places/regularOpeningHours/weekdayDescriptions/0	places/regularOpeningHours/weekdayDescriptions/1	places/regularOpeningHours/weekdayDescriptions/2	places/regularOpeningHours/weekdayDescriptions/3	places/regularOpeningHours/weekdayDescriptions/4	places/regularOpeningHours/weekdayDescriptions/5	places/regularOpeningHours/weekdayDescriptions/6	places/userRatingCount	places/displayName/text	places/displayName/languageCode	places/primaryType	places/priceLevel
ChIJ3zFz5k0UVBMRzSXVvSVyCPA	+389 78 250 554	41.9899429	21.4259388	4.5	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 1:00 AM	Saturday: 9:00 AM – 1:00 AM	Sunday: 9:00 AM – 12:00 AM	2537	Public Room	en	restaurant	PRICE_LEVEL_MODERATE
ChIJzfI70bMVVBMRHuPS9TPP0Fw	+389 2 325 6668	41.9979554	21.4331383	4.5	Monday: Closed	Tuesday: 10:00 AM – 6:00 PM	Wednesday: 10:00 AM – 6:00 PM	Thursday: 10:00 AM – 6:00 PM	Friday: 10:00 AM – 6:00 PM	Saturday: 10:00 AM – 6:00 PM	Sunday: 10:00 AM – 6:00 PM	1369	Museum of the Macedonian Struggle for Independence	en	history_museum	
ChIJ4Ve9700UVBMR_AdJfDM5wRw	+389 70 410 919	42.00217	21.4222741	4.4	Monday: 9:00 AM – 12:00 AM	Tuesday: 9:00 AM – 12:00 AM	Wednesday: 9:00 AM – 12:00 AM	Thursday: 9:00 AM – 12:00 AM	Friday: 9:00 AM – 1:00 AM	Saturday: 9:00 AM – 1:00 AM	Sunday: 9:00 AM – 12:00 AM	1642	CARDAK	en	eastern_european_restaurant	PRICE_LEVEL_MODERATE
ChIJ70xWaLQVVBMR8DcxQuWlkzs	+389 78 411 302	41.9953782	21.4313878	4.4	Monday: 9:00 AM – 12:00 AM	Tuesday: 9:00 AM – 12:00 AM	Wednesday: 9:00 AM – 12:00 AM	Thursday: 9:00 AM – 12:00 AM	Friday: 9:00 AM – 12:00 AM	Saturday: 9:00 AM – 12:00 AM	Sunday: 10:00 AM – 12:00 AM	3749	Pelister	en	restaurant	PRICE_LEVEL_MODERATE
ChIJ55YU_7EVVBMR3RyJrA2BvSc	+389 70 248 248	41.9837484	21.4223475	4.4	Monday: 12:00 PM – 12:00 AM	Tuesday: 12:00 PM – 12:00 AM	Wednesday: 12:00 PM – 12:00 AM	Thursday: 12:00 PM – 12:00 AM	Friday: 12:00 PM – 1:00 AM	Saturday: 12:00 PM – 1:00 AM	Sunday: 12:00 PM – 12:00 AM	324	Salvatore Italian Restaurant	en	italian_restaurant	
ChIJ1_50z08UVBMRUnAXMvcr6vk	+389 78 870 000	42.0033999	21.4171433	4	Monday: 10:00 AM – 12:00 AM	Tuesday: 10:00 AM – 12:00 AM	Wednesday: 10:00 AM – 12:00 AM	Thursday: 10:00 AM – 12:00 AM	Friday: 10:00 AM – 1:00 AM	Saturday: 10:00 AM – 1:00 AM	Sunday: Closed	1543	Fast Food Royal 2	en	fast_food_restaurant	
ChIJkR3XKwAVVBMRTxnM-ORdIZ4	+389 70 399 957	41.9858774	21.4504345	4.6	Monday: 10:00 AM – 11:00 PM	Tuesday: 10:00 AM – 11:00 PM	Wednesday: 10:00 AM – 11:00 PM	Thursday: 10:00 AM – 11:00 PM	Friday: 10:00 AM – 11:00 PM	Saturday: 10:00 AM – 11:00 PM	Sunday: Closed	224	Sakash?	en	restaurant	
ChIJ5aZ0t5MVVBMRu_ewxtIbU6s	+389 2 244 7774	41.9895118	21.4597428	4.5	Monday: 8:00 AM – 11:00 PM	Tuesday: 8:00 AM – 11:00 PM	Wednesday: 8:00 AM – 11:00 PM	Thursday: 8:00 AM – 11:00 PM	Friday: 8:00 AM – 12:00 AM	Saturday: 1:00 – 11:00 PM	Sunday: Closed	3339	Fast Food 7 - Aerodrom	en	fast_food_restaurant	
ChIJQXHufVoUVBMRN9pdVe0jbBA	+389 75 478 134	42.0015746	21.4035183	4.6	Monday: 9:00 AM – 12:00 AM	Tuesday: 9:00 AM – 12:00 AM	Wednesday: 9:00 AM – 12:00 AM	Thursday: 9:00 AM – 12:00 AM	Friday: 9:00 AM – 1:00 AM	Saturday: 9:00 AM – 1:00 AM	Sunday: 10:00 AM – 12:00 AM	1881	Roosty Skopje	en	restaurant	PRICE_LEVEL_MODERATE
ChIJC_ikX7gVVBMRvKDnwNsaGN4	+389 72 273 273	42.0010188	21.4203608	4.2	Monday: 10:00 AM – 12:00 AM	Tuesday: 10:00 AM – 12:00 AM	Wednesday: 10:00 AM – 12:00 AM	Thursday: 10:00 AM – 12:00 AM	Friday: 10:00 AM – 1:00 AM	Saturday: 10:00 AM – 1:00 AM	Sunday: 10:00 AM – 1:00 AM	771	Beer Garden	en	bar	PRICE_LEVEL_MODERATE
ChIJAUODp10VVBMRhj5HWmEjd6Q	+389 70 200 021	41.9978001	21.4198865	4.9	Monday: 7:30 AM – 6:00 PM	Tuesday: 7:30 AM – 6:00 PM	Wednesday: 7:30 AM – 6:00 PM	Thursday: 7:30 AM – 6:00 PM	Friday: 7:30 AM – 6:00 PM	Saturday: 8:30 AM – 4:00 PM	Sunday: Closed	528	The Dude Specialty Coffee	en	cafe	
ChIJC982100UVBMRaOngQOBusDw	+389 72 273 333	42.0008631	21.4196145	4.3	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 1:00 AM	Saturday: 9:00 AM – 1:00 AM	Sunday: 9:00 AM – 12:00 AM	640	Casa Bar Skopje	bg	bar	PRICE_LEVEL_MODERATE
ChIJOTPnwaIVVBMRzC-ujIcUUE8	+389 70 617 749	41.9953934	21.4099925	4.2	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 1:00 AM	Saturday: 8:00 AM – 1:00 AM	Sunday: 8:00 AM – 12:00 AM	642	Loznica National Restaurant	en	restaurant	
ChIJax332j4UVBMRLaXFrU5ovXs	+389 2 306 0900	41.9929578	21.4078759	4.5	Monday: 10:30 AM – 12:00 AM	Tuesday: 10:30 AM – 12:00 AM	Wednesday: 10:30 AM – 12:00 AM	Thursday: 10:30 AM – 12:00 AM	Friday: 10:30 AM – 1:00 AM	Saturday: 10:30 AM – 1:00 AM	Sunday: 10:30 AM – 11:00 PM	1496	Dva Elena	en	restaurant	PRICE_LEVEL_MODERATE
ChIJo2Ul0ocVVBMRpxsU2ipWf80	+389 71 279 660	42.0008454	21.4200545	4.1	Monday: 9:00 AM – 1:00 AM	Tuesday: 9:00 AM – 1:00 AM	Wednesday: 9:00 AM – 1:00 AM	Thursday: 9:00 AM – 1:00 AM	Friday: 9:00 AM – 1:00 AM	Saturday: 9:00 AM – 1:00 AM	Sunday: 9:00 AM – 1:00 AM	747	Kafana „Debar Maalo“	en	restaurant	
ChIJN7jY23YVVBMR8Biyaf8vx0o	+389 78 430 330	41.9948053	21.4138716	4.1	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 1:00 AM	Saturday: 8:00 AM – 1:00 AM	Sunday: 8:00 AM – 12:00 AM	994	Gradska Kafeana Dvor	en	restaurant	PRICE_LEVEL_MODERATE
ChIJ3V92CUwUVBMRPzoAZdXzoZ4	+389 2 311 7597	41.9983585	21.4226786	4.4	Monday: Open 24 hours	Tuesday: Open 24 hours	Wednesday: Open 24 hours	Thursday: Open 24 hours	Friday: Open 24 hours	Saturday: Open 24 hours	Sunday: Open 24 hours	1137	Bakery La Delicious	en	bakery	PRICE_LEVEL_INEXPENSIVE
ChIJkxtrDTgUVBMRuVRYFUl4AmY	+389 70 268 454	41.9947478	21.4140648	4.3	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 1:00 AM	Saturday: 8:00 AM – 1:00 AM	Sunday: 8:00 AM – 12:00 AM	923	Intermezzo Music Bar	en	bar	PRICE_LEVEL_MODERATE
ChIJYzvrjUsUVBMRj9PCuNdaV70	+389 2 321 1914	41.9974682	21.4233074	4.4	Monday: 9:00 AM – 5:00 PM	Tuesday: 9:00 AM – 5:00 PM	Wednesday: 9:00 AM – 5:00 PM	Thursday: 9:00 AM – 5:00 PM	Friday: 9:00 AM – 5:00 PM	Saturday: 12:00 – 7:00 PM	Sunday: Closed	1852	Fast Food 7	en	fast_food_restaurant	
ChIJxQOg56UVVBMRFyF431qjRoE	+389 70 222 137	42.0007014	21.4190979	4.5	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 1:00 AM	Saturday: 8:30 AM – 1:00 AM	Sunday: 9:00 AM – 12:00 AM	455	Urban Bistro „Kantina“	en	bistro	
ChIJ4euxcDgUVBMRNXuR4SNUHpc	+389 2 323 2877	41.9948659	21.4136129	4.6	Monday: 12:00 PM – 12:00 AM	Tuesday: 12:00 PM – 12:00 AM	Wednesday: 12:00 PM – 12:00 AM	Thursday: 12:00 PM – 12:00 AM	Friday: 12:00 PM – 12:00 AM	Saturday: 12:00 PM – 12:00 AM	Sunday: Closed	1051	Vodenica Mulino	en	restaurant	PRICE_LEVEL_EXPENSIVE
ChIJNR_SHv0VVBMR4dCUFWDQDk0		42.0019698	21.4134773	4.4	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 1:00 AM	Saturday: 8:00 AM – 1:00 AM	Sunday: 8:00 AM – 12:00 AM	663	Bar Roosevelt	en	bar	PRICE_LEVEL_MODERATE
ChIJTfHc8NwVVBMRozeeBYkoxUs	+389 75 404 400	41.9948034	21.4100711	4.3	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 9:00 AM – 1:00 AM	Saturday: 9:00 AM – 1:00 AM	Sunday: 12:00 – 10:30 PM	190	Morino	en	pizza_restaurant	
ChIJTZrkakUUVBMRnvgmkUtXly4	+389 72 535 353	42.0037303	21.4149077	4.4	Monday: 7:30 AM – 12:00 AM	Tuesday: 7:30 AM – 12:00 AM	Wednesday: 7:30 AM – 12:00 AM	Thursday: 7:30 AM – 12:00 AM	Friday: 7:30 AM – 1:00 AM	Saturday: 8:00 AM – 1:00 AM	Sunday: 8:00 AM – 12:00 AM	1451	The Gallery Café	en	cafe	PRICE_LEVEL_MODERATE
ChIJJ41fjJgVVBMRwRe6yFW8Snk	+389 71 216 348	41.9970804	21.4061183	4.3	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 12:00 AM	Saturday: 9:00 AM – 1:00 AM	Sunday: 11:00 AM – 8:00 PM	948	BKW Hybrid Bar	en	bar	PRICE_LEVEL_MODERATE
ChIJfX-e-K4VVBMRNK4TurP3EH8	+389 2 323 3999	41.996783	21.4343423	3.9	Monday: Closed	Tuesday: 10:00 AM – 6:00 PM	Wednesday: 10:00 AM – 6:00 PM	Thursday: 10:00 AM – 6:00 PM	Friday: 10:00 AM – 6:00 PM	Saturday: 10:00 AM – 6:00 PM	Sunday: 10:00 AM – 6:00 PM	1658	Archaeological Museum of the Republic of North Macedonia	en	museum	
ChIJO4PbOqwVVBMRmTZ628OKJ4k	+389 2 311 7734	42.0038889	21.4327778	4.1	Monday: Closed	Tuesday: 10:00 AM – 5:00 PM	Wednesday: 10:00 AM – 5:00 PM	Thursday: 10:00 AM – 5:00 PM	Friday: 10:00 AM – 5:00 PM	Saturday: 10:00 AM – 5:00 PM	Sunday: 9:00 AM – 1:00 PM	697	Museum of Contemporary Art Skopje	en	art_museum	
ChIJMbvS6soVVBMRWlrxbvwPZnA	+389 2 311 4742	41.9910127	21.4289376	4.2	Monday: Closed	Tuesday: 9:00 AM – 5:00 PM	Wednesday: 9:00 AM – 5:00 PM	Thursday: 9:00 AM – 5:00 PM	Friday: 9:00 AM – 5:00 PM	Saturday: 9:00 AM – 5:00 PM	Sunday: 9:00 AM – 1:00 PM	724	Museum of the City of Skopje	en	museum	
ChIJc0yWgLEVVBMR9LEsnUIrAG8	+389 2 312 2697	41.9984402	21.4333552	4.5	Monday: Closed	Tuesday: 9:00 AM – 7:00 PM	Wednesday: 9:00 AM – 7:00 PM	Thursday: 9:00 AM – 7:00 PM	Friday: 9:00 AM – 7:00 PM	Saturday: 9:00 AM – 3:00 PM	Sunday: 9:00 AM – 3:00 PM	389	Holocaust Memorial Center for the Jews of Macedonia	en	history_museum	
ChIJafCiq7sVVBMR3_STYImGScM	+389 2 311 5225	41.9964916	21.4427678	4.7	Monday: 9:00 AM – 12:00 AM	Tuesday: 9:00 AM – 12:00 AM	Wednesday: 9:00 AM – 12:00 AM	Thursday: 9:00 AM – 12:00 AM	Friday: 9:00 AM – 1:00 AM	Saturday: 9:00 AM – 1:00 AM	Sunday: 9:00 AM – 12:00 AM	636	Youth Cultural Center (YCC)	en	cultural_center	
ChIJJbrB6YUVVBMRxdzhz_7SKgo	+389 75 760 497	41.9945448	21.429421	4.6	Monday: 8:00 AM – 1:00 AM	Tuesday: 8:00 AM – 1:00 AM	Wednesday: 8:00 AM – 1:00 AM	Thursday: 8:00 AM – 1:00 AM	Friday: 8:00 AM – 1:00 AM	Saturday: 9:00 AM – 1:00 AM	Sunday: 9:00 AM – 1:00 AM	678	Café Kotur	en	bar	PRICE_LEVEL_MODERATE
ChIJG755urEVVBMRUPqJREkQzyI	+389 2 313 3102	41.9986907	21.4357692	4.4								482	National Gallery of North Macedonia	en	art_gallery	
ChIJS5EkVK4VVBMR1SD1Kufk_JM	+389 2 311 6044	42.0026521	21.4362286	3.9	Monday: Closed	Tuesday: 8:00 AM – 4:00 PM	Wednesday: 8:00 AM – 4:00 PM	Thursday: 8:00 AM – 4:00 PM	Friday: 8:00 AM – 4:00 PM	Saturday: 9:00 AM – 3:00 PM	Sunday: 9:00 AM – 1:00 PM	240	Museum of Macedonia	en	history_museum	
ChIJN9DYx68VVBMRw3Brcy062ZY	+389 2 322 7986	42.0011685	21.4372826	4.4	Monday: Closed	Tuesday: 10:00 AM – 6:00 PM	Wednesday: 10:00 AM – 6:00 PM	Thursday: 10:00 AM – 6:00 PM	Friday: 10:00 AM – 6:00 PM	Saturday: 10:00 AM – 6:00 PM	Sunday: 10:00 AM – 6:00 PM	2092	National Gallery – Čifte Hammam	en	museum	
ChIJQfboWtUVVBMRyfyck2mVniM	+389 70 674 111	42.0003224	21.4368554	3.9								46	Kapan Inn	en	history_museum	
ChIJHWQjq7sVVBMRu1IQGcTNpkk	+389 2 311 5225	41.9964136	21.4425707	4.5								190	Frosina Cinema	en	movie_theater	
ChIJ9y6zwrYVVBMRmtIEsKRr6eU	+389 2 312 0389	41.9946399	21.4358895	4.3								614	Milenium City Cinema	en	movie_theater	
ChIJR0_pnq8VVBMRpWBOUgahWZU		42.0019371	21.4381948	4.4								13	Childrens' Teatre Center	en	movie_theater	
ChIJKVJ9UQAVVBMRqId4o3a6awA		41.996147	21.4358896										arheološki muzej skoplje	sr-Latn	museum	
ChIJEabdmVIUVBMR7jQbUCR5jJo		42.0027926	21.4258296	1								2	Krug Film Production	en	movie_theater	
ChIJ-1fzsnIUVBMRo83wwFEJvSI	+389 2 307 1200	41.9996616	21.3909492	4.2	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 1:00 AM	Saturday: 8:00 AM – 1:00 AM	Sunday: 8:00 AM – 12:00 AM	2258	Forza Wine Bar & Restaurant	en	restaurant	PRICE_LEVEL_MODERATE
ChIJKx_X9JwVVBMRilHEbYVAflA	+389 70 380 333	41.9983717	21.3986025	4.2	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 12:00 AM	Saturday: 8:00 AM – 12:00 AM	Sunday: 9:00 AM – 11:00 PM	644	Desserts Oselot	en	dessert_restaurant	
ChIJ9S7jdmkUVBMRMuiqYnt5wWw	+389 72 529 734	42.0031304	21.4005709	4.5	Monday: 8:00 AM – 11:00 PM	Tuesday: 8:00 AM – 11:00 PM	Wednesday: 8:00 AM – 11:00 PM	Thursday: 8:00 AM – 11:00 PM	Friday: 8:00 AM – 12:00 AM	Saturday: 1:00 – 11:00 PM	Sunday: Closed	1966	Fast Food 7 - Karposh	en	fast_food_restaurant	PRICE_LEVEL_MODERATE
ChIJV4bMJLYVVBMRkDaaSPF0CVI	+389 2 309 0100	42.008315	21.3940034	4.5	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 1:00 AM	Saturday: 8:00 AM – 1:00 AM	Sunday: 9:00 AM – 12:00 AM	441	Oeno Wine Bar & Deli	en	wine_bar	PRICE_LEVEL_MODERATE
ChIJff6HYW4UVBMR9nr5MjZGj-w	+389 70 303 535	42.0044198	21.3947264	4.4	Monday: 1:00 – 11:00 PM	Tuesday: 9:00 AM – 12:00 AM	Wednesday: 9:00 AM – 12:00 AM	Thursday: 9:00 AM – 12:00 AM	Friday: 9:00 AM – 12:00 AM	Saturday: 9:00 AM – 12:00 AM	Sunday: 1:00 – 7:00 PM	1724	Restaurant Sidro 2	en	seafood_restaurant	PRICE_LEVEL_MODERATE
ChIJ123zcIQVVBMRfIRvwa71ZtQ	+389 70 583 395	41.9964031	21.3980855	4.7	Monday: 8:30 AM – 12:00 AM	Tuesday: 8:30 AM – 12:00 AM	Wednesday: 8:30 AM – 12:00 AM	Thursday: 8:30 AM – 12:00 AM	Friday: 8:30 AM – 1:00 AM	Saturday: 8:30 AM – 1:00 AM	Sunday: 8:30 AM – 12:00 AM	307	Pogon Bar	en	bar	
ChIJeUEjZmkUVBMR4FKmIZZ70vc	+389 2 306 1273	42.0031667	21.3995267	4.4	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 1:00 AM	Saturday: 8:00 AM – 1:00 AM	Sunday: 10:00 AM – 12:00 AM	2647	Pizza & Pasta Enriko	en	italian_restaurant	PRICE_LEVEL_MODERATE
ChIJLctF-FUVVBMRwVtwWdXlwIQ	+389 70 222 817	42.0034303	21.3982417	3.7	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 1:00 AM	Saturday: 8:00 AM – 1:00 AM	Sunday: 8:00 AM – 12:00 AM	1189	Revija	en	restaurant	PRICE_LEVEL_MODERATE
ChIJZXlG3dkVVBMRtmUt7fq0CuI	+389 75 234 966	41.9973866	21.3983609	4.4	Monday: 3:30 – 9:30 PM	Tuesday: 3:30 – 9:30 PM	Wednesday: 3:30 – 9:30 PM	Thursday: 3:30 – 9:30 PM	Friday: 3:30 – 9:30 PM	Saturday: 10:00 AM – 9:30 PM	Sunday: 10:00 AM – 9:30 PM	246	PLAY игротека & кафе	en	cafe	
ChIJv_KpSgAVVBMRD_jBC382R6E		42.0038428	21.39821	4.7	Monday: 8:00 AM – 11:30 PM	Tuesday: 8:00 AM – 11:30 PM	Wednesday: 8:00 AM – 11:30 PM	Thursday: 8:00 AM – 11:30 PM	Friday: 8:00 AM – 11:30 PM	Saturday: 9:00 AM – 11:30 PM	Sunday: 9:00 AM – 11:30 PM	86	Rutina Coffee House	en	coffee_shop	
ChIJz9-kXE4VVBMRpfwCk4ZDsEg	+389 75 351 135	42.0032467	21.3910754	4.5	Monday: 10:00 AM – 11:00 PM	Tuesday: 10:00 AM – 11:00 PM	Wednesday: 10:00 AM – 11:00 PM	Thursday: 10:00 AM – 11:00 PM	Friday: 10:00 AM – 11:00 PM	Saturday: 10:00 AM – 11:00 PM	Sunday: 10:00 AM – 11:00 PM	158	The Nest Skopje	en	restaurant	
ChIJw4z58WsUVBMR58gpw9mvYsw	+389 2 306 3908	42.0017209	21.3991215	4.6	Monday: 9:30 AM – 7:00 PM	Tuesday: 9:30 AM – 10:30 PM	Wednesday: Open 24 hours	Thursday: 9:30 AM – 10:30 PM	Friday: 9:30 AM – 10:30 PM	Saturday: 10:00 AM – 10:30 PM	Sunday: 10:00 AM – 6:00 PM	384	Fotka Restoran	en	restaurant	PRICE_LEVEL_MODERATE
ChIJqwdieG0UVBMR58MPv58nxPY	+389 75 727 110	42.0016434	21.3923802	4.5								1142	Skara Bar	en	restaurant	PRICE_LEVEL_MODERATE
ChIJVfYuLqoVVBMRarW7GBZ2ZSs	+389 70 222 125	41.9979277	21.398128	3.6	Monday: 8:00 AM – 1:00 AM	Tuesday: 8:00 AM – 1:00 AM	Wednesday: 8:00 AM – 1:00 AM	Thursday: 8:00 AM – 1:00 AM	Friday: 8:00 AM – 1:00 AM	Saturday: 8:00 AM – 1:00 AM	Sunday: 8:00 AM – 1:00 AM	139	Soma Lounge Bar	en	lounge_bar	
ChIJg28bRjgVVBMR-V3OlQQutCU	+389 71 221 166	41.9975101	21.3983571	4.7	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 12:00 AM	Saturday: 8:00 AM – 12:00 AM	Sunday: 8:00 AM – 11:00 PM	284	Café „Central Perk“	en	coffee_shop	
